Name,Author,Copyright Details,Recently Added,Hymn,Song,ATN,Notes,,,,,,,,,,,,,,,,,,,,
i choose to worship,,,TRUE,FALSE,FALSE,FALSE,added by Sue Wise,,,,,,,,,,,,,,,,,,,,
I Speak Jesus,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
I stand amazed,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
I’ll bless your name o God (How great is the Lord),,,TRUE,FALSE,FALSE,FALSE,GYD Conference Song / Added by Adam,,,,,,,,,,,,,,,,,,,,
If Christ is mine I need no more - when all of Christ is all of mine,,,TRUE,FALSE,FALSE,FALSE,GYD Conference Song / Added by Adam,,,,,,,,,,,,,,,,,,,,
If Christ is mine I need no more he is the greatest gift of all,,,TRUE,FALSE,FALSE,FALSE,GYD Conference Song / Added by Adam,,,,,,,,,,,,,,,,,,,,
In Christ alone,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Indescribable,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Is anything too hard for you?,Joyful Noise,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Is he worthy?,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Jesus be the centre,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Jesus hope of the nations,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
"King of kings, majesty",,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
King of the ages,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Let everything that has breath (praise the Lord),,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Let My Words Be Few,Matt Redman,,TRUE,FALSE,FALSE,FALSE,Added by Richard,,,,,,,,,,,,,,,,,,,,
Light of the world,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Living hope,Phil Wickham,© 2017 Phil Wickham Music; Simply Global Songs; Sing My Songs; Bethel Music Publishing,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Look And See,,,TRUE,FALSE,FALSE,FALSE,added by Ben Bradford,,,,,,,,,,,,,,,,,,,,
Lord I come before your throne of grace,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Love divine,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Loved before the dawn of time (Salvation’s song),,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Mighty Mighty Saviour,Mark Altrogge,,FALSE,FALSE,FALSE,TRUE,added by Ben Bradford,,,,,,,,,,,,,,,,,,,,
Mighty To Save,,© 2006 Hillsong Music Publishing Australia,TRUE,FALSE,FALSE,FALSE,added by Sue Wise,,,,,,,,,,,,,,,,,,,,
"My Jesus, my Saviour",,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
My lighthouse,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Never Let Go,Matt Redman,,TRUE,FALSE,FALSE,FALSE,added by Sue Wise,,,,,,,,,,,,,,,,,,,,
No longer slaves,,© 2014 Bethel Music Publishing,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
