date,Songs,First Line of Song,Music leader,CCLI# or Ref,Reported,,,,,,,,,,,,,,,,,,,,,
31/10/21,My Lighthouse,In my wrestling and in my doubts,Sue,,,,,,,,,,,,,,,,,,,,,,,
31/10/21,"Guide Me O, Thou Great Jehovah","Guide me O, Thou great Jehovah",Sue,,,,,,,,,,,,,,,,,,,,,,,
31/10/21,Joy of the Lord,"Though the tears may fall, my song will rise",Sue,,,,,,,,,,,,,,,,,,,,,,,
7/11/21,This is Amazing Grace,Who breaks the power of sin and darkness?,Mary,,,,,,,,,,,,,,,,,,,,,,,
7/11/21,All Who Are Thirsty,"All who are thirsty, All who are weak,",Mary,,,,,,,,,,,,,,,,,,,,,,,
7/11/21,Is He Worthy?,Do you feel the world is broken?,Mary,,,,,,,,,,,,,,,,,,,,,,,
7/11/21,The Lord’s My Shepherd,The Lord’s My Shepherd,Mary,,,,,,,,,,,,,,,,,,,,,,,
7/11/21,Yet Not I But Through Christ In Me,What gift of grace is Jesus my redeemer,Mary,,,,,,,,,,,,,,,,,,,,,,,
14/11/21,I Vow to Thee My Country,I vow to thee my country all earthly things above,Sue,,,,,,,,,,,,,,,,,,,,,,,
14/11/21,Living hope,How great the chasm that lay between us,Sue,,,,,,,,,,,,,,,,,,,,,,,
14/11/21,Great is the Lord,Great is the Lord and greatly to be praised,Sue,,,,,,,,,,,,,,,,,,,,,,,
14/11/21,Before The Throne,Before the throne of God above,Sue,,,,,,,,,,,,,,,,,,,,,,,
14/11/21,My Jesus,"My Jesus, my Saviour",Sue,,,,,,,,,,,,,,,,,,,,,,,
14/11/21,On Eagles Wings,You who dwell in the shelter of the Lord,Sue,,,,,,,,,,,,,,,,,,,,,,,
21/11/21,"Holy, holy, holy","Holy, holy, holy is the Lord Almighty",Mary,,,,,,,,,,,,,,,,,,,,,,,
21/11/21,The Splendour of the King,"The splendour of the King, clothed in majesty",Mary,,,,,,,,,,,,,,,,,,,,,,,
21/11/21,Goodness of God,"I love you Lord, oh Your mercy never fails me",Mary,,,,,,,,,,,,,,,,,,,,,,,
21/11/21,Speak O Lord,Speak O Lord as we come to You,Mary,,,,,,,,,,,,,,,,,,,,,,,
21/11/21,Build Your Kingdom Here,Come set Your rule and reign,Mary,,,,,,,,,,,,,,,,,,,,,,,
28/11/21,O Come O Come Immanuel,O Come O Come Immanuel,Sue,,,,,,,,,,,,,,,,,,,,,,,
28/11/21,Here I Am to Worship,Light of the world You stepped down into darkness,Sue,,,,,,,,,,,,,,,,,,,,,,,
28/11/21,The Lion and the Lamb,He's coming on the clouds,Sue,,,,,,,,,,,,,,,,,,,,,,,
28/11/21,O Church Arise,"O Church arise, and put your armour on;",Sue,,,,,,,,,,,,,,,,,,,,,,,
28/11/21,"10,000 Reasons","Bless the Lord, O my soul",CT,,,,,,,,,,,,,,,,,,,,,,,
28/11/21,Be Still,Be still for the presence of the Lord,CT,,,,,,,,,,,,,,,,,,,,,,,
28/11/21,Before The Throne,Before the throne of God above,CT,,,,,,,,,,,,,,,,,,,,,,,
28/11/21,Servant King,"From heaven you came, helpless babe",CT,,,,,,,,,,,,,,,,,,,,,,,
28/11/21,Great is the darkness,Great is the darkness that covers the earth,CT,,,,,,,,,,,,,,,,,,,,,,,
28/11/21,Immortal Invisible,"Immortal, invisible,",CT,,,,,,,,,,,,,,,,,,,,,,,
5/12/21,Make Way Make Way,"Make way, make way for Christ the King",Mary,,,,,,,,,,,,,,,,,,,,,,,
5/12/21,By Faith,By faith we see the hand of God,Mary,,,,,,,,,,,,,,,,,,,,,,,
5/12/21,Everlasting God,Strength will rise as we wait upon the Lord,Mary,,,,,,,,,,,,,,,,,,,,,,,
5/12/21,"Lord, You Have My Heart","Lord, You have my heart",Mary,,,,,,,,,,,,,,,,,,,,,,,
5/12/21,It Is Well With My Soul,It is well with my soul,Mary,,,,,,,,,,,,,,,,,,,,,,,
12/12/21,Joy To The World,Joy to the world!,Sue,,,,,,,,,,,,,,,,,,,,,,,
12/12/21,Be Happy,"I’m gonna jump up and down,",Sue,,,,,,,,,,,,,,,,,,,,,,,
12/12/21,Our God Reigns,How lovely on the mountains,Sue,,,,,,,,,,,,,,,,,,,,,,,
12/12/21,Give Thanks to the Lord,Give thanks to the Lord our God and King,Sue,,,,,,,,,,,,,,,,,,,,,,,
19/12/21,Joy To The World,Joy to the world!,Mary,,,,,,,,,,,,,,,,,,,,,,,
19/12/21,Away in a Manger,"Away in a manger, no crib for a bed",Mary,,,,,,,,,,,,,,,,,,,,,,,
19/12/21,Lift Up Your Voices,"Come on, come in, everybody",[Video],,,,,,,,,,,,,,,,,,,,,,,
19/12/21,The Calypso Carol,See him lying on a bed of straw,Mary,,,,,,,,,,,,,,,,,,,,,,,
19/12/21,Mary's Boy Child,Long time ago in Bethlehem,Mary,,,,,,,,,,,,,,,,,,,,,,,
19/12/21,O Little Town of Bethlehem,O little town of Bethlehem,Sue/Mary,1741697,public domain,,,,,,,,,,,,,,,,,,,,,
19/12/21,The Virgin Mary Had a Baby Boy,The Virgin Mary had a baby boy,Sue/Mary,4756091,public domain,,,,,,,,,,,,,,,,,,,,,
19/12/21,A Baby Was Born in Bethlehem,,Sue/Mary,TBC from Mary - not on CCLI,,,,,,,,,,,,,,,,,,,,,,
19/12/21,Hark The Herald Angels Sing,Hark the herald angels sing,Sue/Mary,27738,public domain,,,,,,,,,,,,,,,,,,,,,
19/12/21,God Rest Ye Merry Gentlemen,God rest ye merry gentlemen,Sue/Mary,39441,public domain,,,,,,,,,,,,,,,,,,,,,
19/12/21,O Come All Ye Faithful,"O come all ye faithful, joyful and triumphant.",Sue/Mary,4758525,public domain,,,,,,,,,,,,,,,,,,,,,
24/12/21,Come and join the celebration!,Come and join the celebration,Sue,"Words and music by Valerie Collison 
",,,,,,,,,,,,,,,,,,,,,,
24/12/21,My Lighthouse,In my wrestling and in my doubts,Sue,7002032,reported 17/1/22,,,,,,,,,,,,,,,,,,,,,
24/12/21,The Calypso Carol,See him lying on a bed of straw,Sue,626892,reported 17/1/22,,,,,,,,,,,,,,,,,,,,,
24/12/21,Away in a Manger,"Away in a manger, no crib for a bed",Sue,38583,public domain,,,,,,,,,,,,,,,,,,,,,
24/12/21,Hark The Herald Angels Sing,Hark the herald angels sing,Sue,27738,public domain,,,,,,,,,,,,,,,,,,,,,
24/12/21,Hark The Herald Angels Sing,Hark the herald angels sing,Mary,27738,public domain,,,,,,,,,,,,,,,,,,,,,
24/12/21,Angels from the Realms of Glory,Angels from the realms of glory,Mary,31669,public domain,,,,,,,,,,,,,,,,,,,,,
24/12/21,Silent Night,"Silent night, holy night.",Mary,27862,public domain,,,,,,,,,,,,,,,,,,,,,
24/12/21,O Come All Ye Faithful,"O come all ye faithful, joyful and triumphant.",Mary,4758525,public domain,,,,,,,,,,,,,,,,,,,,,
25/12/21,Once in Royal David's City,Once in Royal David's City,Sue,2787189,reported 17/1/22,,,,,,,,,,,,,,,,,,,,,
25/12/21,Silent Night,"Silent night, holy night.",Sue,27862,public domain,,,,,,,,,,,,,,,,,,,,,
25/12/21,O Come All Ye Faithful,"O come all ye faithful, joyful and triumphant.",Sue,4758525,public domain,,,,,,,,,,,,,,,,,,,,,
25/12/21,Hark The Herald Angels Sing,Hark the herald angels sing,Sue,27738,public domain,,,,,,,,,,,,,,,,,,,,,
26/12/21,Come and join the celebration!,Come and join the celebration,Sue,Words and music by Valerie Collison,,,,,,,,,,,,,,,,,,,,,,
26/12/21,Many Years Ago,"Many years ago, in a stable far away.",Mary,"Words by Pete Greystone and Ray Chering, 
to the tune of ‘Jingle Bells’ (music by James Pierpont)
",,,,,,,,,,,,,,,,,,,,,,
26/12/21,It Was On A Starry Night,It was on a starry night,Mary,643909,reported 17/1/22,,,,,,,,,,,,,,,,,,,,,
11/12/22,Christ be our light,"Longing for light, we wait in darkness",Sue,Bernadette Farrell C: 1993 OCP,?,,,,,,,,,,,,,,,,,,,,,
11/12/22,Lo He Comes With Clouds Descending,Lo He Comes With Clouds Descending,Sue,,reported 3/1/23,,,,,,,,,,,,,,,,,,,,,
11/12/22,O Church Arise,"O Church arise, and put your armour on",Sue,4611992,reported 3/1/23,,,,,,,,,,,,,,,,,,,,,
11/12/22,Our God reigns,How lovely on the mountains,Sue,8458,reported 3/1/23,,,,,,,,,,,,,,,,,,,,,
26/12/21,Go tell it on the mountain,Go tell it on the mountain,Mary,4629410,reported 17/1/22,,,,,,,,,,,,,,,,,,,,,
2/1/22,Behold Our God,Who has held the oceans in His hands?,Sue,5937510,reported 17/1/22,,,,,,,,,,,,,,,,,,,,,
2/1/22,Lord For The Years,"Lord, for the years your love has kept and guided",Sue,2419402,reported 17/1/22,,,,,,,,,,,,,,,,,,,,,
2/1/22,Our God is a Great Big God,Our God is a great big God,Sue,3373437,reported 17/1/22,,,,,,,,,,,,,,,,,,,,,
2/1/22,When The King Shall Come Again,When the King shall come again,Sue,1890352,reported 17/1/22,,,,,,,,,,,,,,,,,,,,,
9/1/22,Be Thou My Vision,"Be Thou my vision, O Lord of my heart",Mary,3142950,reported 18/1/22,,,,,,,,,,,,,,,,,,,,,
9/1/22,"Come, Now is the Time to Worship","Come, now is the time to worship",Mary,2430948,reported 18/1/22,,,,,,,,,,,,,,,,,,,,,
9/1/22,Cornerstone,My hope is built on nothing less,Mary,6158927,reported 18/1/22,,,,,,,,,,,,,,,,,,,,,
9/1/22,Holy Spirit,There's nothing worth more that will ever come close,Mary,6087919,reported 18/1/22,,,,,,,,,,,,,,,,,,,,,
9/1/22,Yet Not I But Through Christ In Me,What gift of grace is Jesus my redeemer,Mary,7121852,reported 18/1/22,,,,,,,,,,,,,,,,,,,,,
16/01/22,Be Free in the Love of God,Be free in the love of God,Sue,1101684,reported 18/1/22,,,,,,,,,,,,,,,,,,,,,
16/01/22,Forever,Give thanks to the Lord,Sue,3148428,reported 18/1/22,,,,,,,,,,,,,,,,,,,,,
16/01/22,Great Things,Come let us worship our King.,Sue,7111321,reported 18/1/22,,,,,,,,,,,,,,,,,,,,,
16/01/22,Hope of the Nations,Jesus hope of the nations,Sue,3540703,reported 18/1/22,,,,,,,,,,,,,,,,,,,,,
16/01/22,Rejoice,Rejoice rejoice,Sue,1338,reported 18/1/22,,,,,,,,,,,,,,,,,,,,,
23/01/22,All I Need Is You,Left my fear by the side of the road,Mary,4455213,reported 7/2/22,,,,,,,,,,,,,,,,,,,,,
23/01/22,Be the Centre,"Jesus, be the Centre",Mary,2650429,reported 7/2/22,,,,,,,,,,,,,,,,,,,,,
23/01/22,Blessed Be Your Name,Blessed be Your name,Mary,3798438,reported 7/2/22,,,,,,,,,,,,,,,,,,,,,
23/01/22,Every Move I Make,Every move I make I make in You,Mary,1595726,reported 7/2/22,,,,,,,,,,,,,,,,,,,,,
