date,Songs,First Line of Song,Music leader,CCLI# or Ref,Reported,,,,,,,,,,,,,,,,,,,,,
22/05/22,Hope of the Nations,Jesus hope of the nations,Sue,3540703,reported 24/5/22,,,,,,,,,,,,,,,,,,,,,
22/05/22,In Christ Alone,In Christ alone my hope is found,Sue,3350395,reported 24/5/22,,,,,,,,,,,,,,,,,,,,,
22/05/22,This I Believe (The Creed),Our Father everlasting,Sue,7018338,reported 24/5/22,,,,,,,,,,,,,,,,,,,,,
29/05/22,Across The Lands,You're the Word of God the Father,Mary,3709898,reported 9/6/22,,,,,,,,,,,,,,,,,,,,,
29/05/22,All Who Are Thirsty,"All who are thirsty, All who are weak",Mary,2489542,reported 9/6/22,,,,,,,,,,,,,,,,,,,,,
29/05/22,He Will Hold Me Fast,When I fear my faith will fail,Mary,7016161,reported 9/6/22,,,,,,,,,,,,,,,,,,,,,
29/05/22,Hosanna (Praise Is Rising),Praise is rising,Mary,4662491,reported 9/6/22,,,,,,,,,,,,,,,,,,,,,
29/05/22,I Heard The Voice Of Jesus Say,I heard the voice of Jesus say,Mary,7125864,reported 9/6/22,,,,,,,,,,,,,,,,,,,,,
29/05/22,Who You Say I Am,Who am I that the highest King,Mary,7102401,reported 9/6/22,,,,,,,,,,,,,,,,,,,,,
5/6/22,Build Your Kingdom Here,Come set Your rule and reign,Joan,6186078,reported 9/6/22,,,,,,,,,,,,,,,,,,,,,
5/6/22,Everlasting God,Strength will rise as we wait upon the Lord,Joan,4556538,reported 9/6/22,,,,,,,,,,,,,,,,,,,,,
5/6/22,Every Move I Make,Every move I make I make in You,Joan,1595726,reported 9/6/22,,,,,,,,,,,,,,,,,,,,,
5/6/22,Hallelujah,There was a man who walked on earth,Joan,"Words by Rhys Owens, Music by Leonard Cohen, 5516144",reported 9/6/22,,,,,,,,,,,,,,,,,,,,,
12/6/22,Awesome God,When He rolls up His sleeves,Mary,41099,reported 21/6/22,,,,,,,,,,,,,,,,,,,,,
12/6/22,Indescribable,From the highest of heights to the depths of the sea,Mary,4403076,reported 21/6/22,,,,,,,,,,,,,,,,,,,,,
12/6/22,The River,To the river I am going,Mary,4316864,reported 21/6/22,,,,,,,,,,,,,,,,,,,,,
12/6/22,There Is A Higher Throne,There is a higher throne,Mary,3994672,reported 21/6/22,,,,,,,,,,,,,,,,,,,,,
19/06/22,He Will Hold Me Fast,When I fear my faith will fail,Sue,7016161,reported 21/6/22,,,,,,,,,,,,,,,,,,,,,
19/06/22,I Choose To Worship,I choose to worship I choose to bow,Sue,7145862,reported 21/6/22,,,,,,,,,,,,,,,,,,,,,
19/06/22,Mighty to Save,Ev’ryone needs compassion,Sue,4591782,reported 21/6/22,,,,,,,,,,,,,,,,,,,,,
19/06/22,My Lighthouse,In my wrestling and in my doubts,Sue,7002032,reported 21/6/22,,,,,,,,,,,,,,,,,,,,,
19/06/22,You Never Let Go,Even though I walk through the valley,Sue,4674166,reported 21/6/22,,,,,,,,,,,,,,,,,,,,,
26/06/22,"Come, Now is the Time to Worship","Come, now is the time to worship",Mary,2430948,reported 11/7/22,,,,,,,,,,,,,,,,,,,,,
26/06/22,I Stand Amazed,I stand amazed in the presence,Mary,25297,public domain,,,,,,,,,,,,,,,,,,,,,
26/06/22,Living Hope,How great the chasm that lay between us,Mary,7106807,reported 11/7/22,,,,,,,,,,,,,,,,,,,,,
26/06/22,Salvation's Song,Loved before the dawn of time,Mary,5109630,reported 11/7/22,,,,,,,,,,,,,,,,,,,,,
26/06/22,Yet Not I But Through Christ In Me,What gift of grace is Jesus my redeemer,Mary,7121852,reported 11/7/22,,,,,,,,,,,,,,,,,,,,,
3/7/22,Hope of the Nations,Jesus hope of the nations,Joan,3540703,reported 11/7/22,,,,,,,,,,,,,,,,,,,,,
3/7/22,In Christ Alone,In Christ alone my hope is found,Joan,3350395,reported 11/7/22,,,,,,,,,,,,,,,,,,,,,
3/7/22,Shout to the Lord,My Jesus my Saviour,Joan,1406918,reported 11/7/22,,,,,,,,,,,,,,,,,,,,,
3/7/22,This I Believe (The Creed),Our Father everlasting,Joan,7018338,reported 11/7/22,,,,,,,,,,,,,,,,,,,,,
10/7/22,Cornerstone,My hope is built on nothing less,Joan,6158927,reported 11/7/22,,,,,,,,,,,,,,,,,,,,,
10/7/22,In Christ Alone,In Christ alone my hope is found,Joan,3350395,reported 11/7/22,,,,,,,,,,,,,,,,,,,,,
10/7/22,Speak O Lord,Speak O Lord as we come to You,Joan,4615235,reported 11/7/22,,,,,,,,,,,,,,,,,,,,,
10/7/22,This is Amazing Grace,Who breaks the power of sin and darkness,Joan,6333821,reported 11/7/22,,,,,,,,,,,,,,,,,,,,,
17/07/22,"10,000 Reasons","Bless the Lord, O my soul",Sue,6016351,reported 20/7/22,,,,,,,,,,,,,,,,,,,,,
17/07/22,Amazing Grace,"Amazing grace, how sweet the sound",Sue,2762836,public domain,,,,,,,,,,,,,,,,,,,,,
17/07/22,Great Is Thy Faithfulness,Great is Thy faithfulness,Sue,18723,reported 20/7/22,,,,,,,,,,,,,,,,,,,,,
17/07/22,Speak O Lord,Speak O Lord as we come to You,Sue,4615235,reported 20/7/22,,,,,,,,,,,,,,,,,,,,,
17/07/22,You Are Good,I want to scream it out,Sue,5191806,reported 20/7/22,,,,,,,,,,,,,,,,,,,,,
24/07/22,And Can It Be,And can it be that I should gain,Sue,25280,public domain,,,,,,,,,,,,,,,,,,,,,
24/07/22,Apostle's Creed,I believe in God the Father,Sue,4001650,reported 13/8/22,,,,,,,,,,,,,,,,,,,,,
24/07/22,Great In Power,Praise Him you heavens,Sue,2582339,reported 13/8/22,,,,,,,,,,,,,,,,,,,,,
24/07/22,Mercy,I will kneel in the dust at the foot of the cross,Sue,7000689,reported 13/8/22,,,,,,,,,,,,,,,,,,,,,
24/07/22,Praise To The Lord The Almighty (Lobe den Herren),Praise to the Lord the Almighty,Sue,43073,public domain,,,,,,,,,,,,,,,,,,,,,
31/07/22,By Faith,By faith we see the hand of God,Mary,5469291,reported 13/8/22,,,,,,,,,,,,,,,,,,,,,
31/07/22,Goodness Of God,I love you Lord,Mary,7117726,reported 13/8/22,,,,,,,,,,,,,,,,,,,,,
31/07/22,Lift Up Your Voices,"Come on, come in, everybody",Mary,"Words and Music by Awesome Cutlery, https://www.awesomecutlery.com/ 
Copyright © 2019 Dan Adams & Gareth Loh",,,,,,,,,,,,,,,,,,,,,,
31/07/22,Salvation's Song,Loved before the dawn of time,Mary,5109630,reported 13/8/22,,,,,,,,,,,,,,,,,,,,,
31/07/22,Who You Say I Am,Who am I that the highest King,Mary,7102401,reported 13/8/22,,,,,,,,,,,,,,,,,,,,,
7/8/22,Build Your Kingdom Here,Come set Your rule and reign,Mary,6186078,reported 13/8/22,,,,,,,,,,,,,,,,,,,,,
7/8/22,Cornerstone,My hope is built on nothing less,Mary,6158927,reported 13/8/22,,,,,,,,,,,,,,,,,,,,,
7/8/22,Everlasting God,Strength will rise as we wait upon the Lord,Mary,4556538,reported 13/8/22,,,,,,,,,,,,,,,,,,,,,
7/8/22,Give Me Oil In My Lamp,Give me oil in my lamp keep me burning,Mary,4755580,public domain,,,,,,,,,,,,,,,,,,,,,
7/8/22,Way Maker,You are here moving in our midst,Mary,7115744,reported 13/8/22,,,,,,,,,,,,,,,,,,,,,
14/08/22,Forever,Give thanks to the Lord,Sue,3148428,reported 13/8/22,,,,,,,,,,,,,,,,,,,,,
14/08/22,One Way,I lay my life down at Your feet,Sue,4222082,reported 13/8/22,,,,,,,,,,,,,,,,,,,,,
14/08/22,Our God,Water you turned into wine,Sue,5677416,reported 13/8/22,,,,,,,,,,,,,,,,,,,,,
21/08/22,"10,000 reasons","Bless the Lord, O my soul",Mary,6016351,reported 12/9/22,,,,,,,,,,,,,,,,,,,,,
21/08/22,All Through History,Noah built the most enormous boat,Mary,5100206,reported 12/9/22,,,,,,,,,,,,,,,,,,,,,
21/08/22,Faithful one,Faithful one so unchanging,Mary,465840,reported 12/9/22,,,,,,,,,,,,,,,,,,,,,
21/08/22,Great are you Lord,"You give life, you are love",Mary,6460220,reported 12/9/22,,,,,,,,,,,,,,,,,,,,,
21/08/22,I Speak Jesus,I just want to speak the Name of Jesus,Mary,7136201,reported 12/9/22,,,,,,,,,,,,,,,,,,,,,
21/08/22,King Of Kings Majesty,King of kings majesty,Mary,1581778,reported 12/9/22,,,,,,,,,,,,,,,,,,,,,
28/08/22,All Through History,Noah built the most enormous boat,Joan,5100206,reported 12/9/22,,,,,,,,,,,,,,,,,,,,,
28/08/22,Everlasting God,Strength will rise as we wait upon the Lord,Joan,4556538,reported 12/9/22,,,,,,,,,,,,,,,,,,,,,
28/08/22,How Deep The Father's Love For Us,How deep the Father's love for us,Joan,1558110,reported 12/9/22,,,,,,,,,,,,,,,,,,,,,
28/08/22,Lord Reign In Me,Over all the earth,Joan,2490706,reported 12/9/22,,,,,,,,,,,,,,,,,,,,,
28/08/22,O Church Arise,"O Church arise, and put your armour on;",Joan,4611992,reported 12/9/22,,,,,,,,,,,,,,,,,,,,,
4/9/22,King of the Ages,King of the ages,Joan,3707663,reported 12/9/22,,,,,,,,,,,,,,,,,,,,,
4/9/22,My Lighthouse,In my wrestling and in my doubts,Joan,7002032,reported 12/9/22,,,,,,,,,,,,,,,,,,,,,
4/9/22,Our God is a Great Big God,Our God is a great big God,Joan,3373437,reported 12/9/22,,,,,,,,,,,,,,,,,,,,,
4/9/22,Sing To God New Songs,Sing to God new songs of worship,Joan,2874463,reported 12/9/22,,,,,,,,,,,,,,,,,,,,,
11/9/22,Alleluia Sing To Jesus,Alleluia sing to Jesus,Mary,3255892,reported 12/9/22,,,,,,,,,,,,,,,,,,,,,
11/9/22,"Come, Now is the Time to Worship","Come, now is the time to worship",Mary,2430948,reported 12/9/22,,,,,,,,,,,,,,,,,,,,,
11/9/22,Great Is Thy Faithfulness,Great is Thy faithfulness,Mary,18723,reported 12/9/22,,,,,,,,,,,,,,,,,,,,,
11/9/22,I Speak Jesus,I just want to speak the Name of Jesus,Mary,7136201,reported 12/9/22,,,,,,,,,,,,,,,,,,,,,
11/9/22,Is He Worthy?,Do you feel the world is broken?,Mary,7108951,reported 12/9/22,,,,,,,,,,,,,,,,,,,,,
11/9/22,The Servant King,From heav'n You came helpless babe,Mary,78897,reported 12/9/22,,,,,,,,,,,,,,,,,,,,,
16/09/22,"Immortal, invisible, God only wise","Immortal, invisible, God only wise",Recording,124466,public domain,,,,,,,,,,,,,,,,,,,,,
16/09/22,"Praise to the Lord, the Almighty","Praise to the Lord, the Almighty",Recording,43073,public domain,,,,,,,,,,,,,,,,,,,,,
18/09/22,All Creatures Of Our God And King,All creatures of our God and King,Mary,2846264,public domain,,,,,,,,,,,,,,,,,,,,,
18/09/22,Be Thou My Vision,"Be Thou my vision, O Lord of my heart",Mary,3142950,reported 21/9/22,,,,,,,,,,,,,,,,,,,,,
18/09/22,Before The Throne Of God,Before the throne of God above,Mary,990391,public domain,,,,,,,,,,,,,,,,,,,,,
18/09/22,Cornerstone,My hope is built on nothing less,Mary,6158927,reported 21/9/22,,,,,,,,,,,,,,,,,,,,,
18/09/22,Faithful one,Faithful one so unchanging,Mary,465840,reported 21/9/22,,,,,,,,,,,,,,,,,,,,,
18/09/22,Holy Holy Holy,Holy holy holy Lord God Almighty,Mary,1156,public domain,,,,,,,,,,,,,,,,,,,,,
18/09/22,I Choose To Worship,I choose to worship I choose to bow,Mary,7145862,reported 21/9/22,,,,,,,,,,,,,,,,,,,,,
18/09/22,Indescribable,From the highest of heights to the depths of the sea,Mary,4403076,reported 21/9/22,,,,,,,,,,,,,,,,,,,,,
18/09/22,Psalm 23,The Lord's my Shepherd I'll not want,Mary,1585970,reported 21/9/22,,,,,,,,,,,,,,,,,,,,,
18/09/22,There Is A Higher Throne,There is a higher throne,Mary,3994672,reported 21/9/22,,,,,,,,,,,,,,,,,,,,,
18/09/22,Turn Your Eyes Upon Jesus,O soul are you weary and troubled,Mary,15960,reported 21/9/22,,,,,,,,,,,,,,,,,,,,,
2/10/22,All Creatures Of Our God And King,All creatures of our God and King,Mary,2846264,public domain,,,,,,,,,,,,,,,,,,,,,
2/10/22,Build Your Kingdom Here,Come set Your rule and reign,Mary,6186078,reported 11/10/22,,,,,,,,,,,,,,,,,,,,,
2/10/22,Harvest Samba,"Cabbages and greens, Broccoli and beans",Mary,3916935,reported 11/10/22,,,,,,,,,,,,,,,,,,,,,
2/10/22,Praise My Soul The King Of Heaven,Praise my soul the King of heaven,Mary,800443,public domain,,,,,,,,,,,,,,,,,,,,,
9/10/22,Come People Of The Risen King,Come people of the Risen King,Mary,5232617,reported 11/10/22,,,,,,,,,,,,,,,,,,,,,
9/10/22,How Great is Our God,"The splendour of the King, clothed in majesty",Mary,4348399,reported 11/10/22,,,,,,,,,,,,,,,,,,,,,
9/10/22,King Of Kings Majesty,King of kings majesty,Mary,1581778,reported 11/10/22,,,,,,,,,,,,,,,,,,,,,
9/10/22,Speak O Lord,Speak O Lord as we come to You,Mary,4615235,reported 11/10/22,,,,,,,,,,,,,,,,,,,,,
9/10/22,Yet Not I But Through Christ In Me,What gift of grace is Jesus my redeemer,Mary,7121852,reported 11/10/22,,,,,,,,,,,,,,,,,,,,,
16/10/22,By faith,By faith we see the hand of God,Andy,5469291,reported 9/11/22,,,,,,,,,,,,,,,,,,,,,
16/10/22,Dear lord and father of mankind,Dear lord and father of mankind,Andy,4753678,public domain,,,,,,,,,,,,,,,,,,,,,
16/10/22,O Praise the name (Anastasis),I cast my mind to calvary,Andy,7037787,reported 9/11/22,,,,,,,,,,,,,,,,,,,,,
16/10/22,Salvation's song,Loved before the dawn of time,Andy,5109630,reported 9/11/22,,,,,,,,,,,,,,,,,,,,,
16/10/22,The river,To the river I am going,Andy,4316864,reported 9/11/22,,,,,,,,,,,,,,,,,,,,,
23/10/22,Across The Lands,You're the Word of God the Father,Mary,3709898,reported 9/11/22,,,,,,,,,,,,,,,,,,,,,
23/10/22,Be Thou My Vision,"Be Thou my vision, O Lord of my heart",Mary,3142950,reported 9/11/22,,,,,,,,,,,,,,,,,,,,,
23/10/22,Goodness Of God,I love you Lord,Mary,7117726,reported 9/11/22,,,,,,,,,,,,,,,,,,,,,
23/10/22,In Christ Alone,In Christ alone my hope is found,Mary,3350395,reported 9/11/22,,,,,,,,,,,,,,,,,,,,,
23/10/22,O Church Arise,"O Church arise, and put your armour on;",Mary,4611992,reported 9/11/22,,,,,,,,,,,,,,,,,,,,,
30/10/22,Across The Lands,You're the Word of God the Father,Sue,3709898,reported 9/11/22,,,,,,,,,,,,,,,,,,,,,
30/10/22,Alleluia Sing To Jesus,Alleluia sing to Jesus,Sue,3255892,reported 9/11/22,,,,,,,,,,,,,,,,,,,,,
30/10/22,Build Your Kingdom Here,Come set Your rule and reign,Sue,6186078,reported 9/11/22,,,,,,,,,,,,,,,,,,,,,
30/10/22,Holy Spirit,Holy Spirit living Breath of God,Sue,4779872,reported 9/11/22,,,,,,,,,,,,,,,,,,,,,
6/11/22,Here I Am to Worship,Light of the world You stepped down into darkness,Mary,3266032,reported 11/11/22,,,,,,,,,,,,,,,,,,,,,
6/11/22,My Lighthouse,In my wrestling and in my doubts,Mary,7002032,reported 11/11/22,,,,,,,,,,,,,,,,,,,,,
6/11/22,Walk in the light,The Spirit Lives To Set Us Free,Mary,4806051,reported 11/11/22,,,,,,,,,,,,,,,,,,,,,
6/11/22,Who You Say I Am,Who am I that the highest King,Mary,7102401,reported 11/11/22,,,,,,,,,,,,,,,,,,,,,
13/11/22,Behold Our God,Who has held the oceans in His hands?,Sue,5937510,reported 21/11/22,,,,,,,,,,,,,,,,,,,,,
13/11/22,God Is Our Strength And Refuge,God is our strength and refuge,Sue,2607575,reported 21/11/22,,,,,,,,,,,,,,,,,,,,,
13/11/22,Great Is The Lord,Great is the Lord and most worthy of praise,Sue,10769,reported 21/11/22,,,,,,,,,,,,,,,,,,,,,
13/11/22,Remembrance Hymn,O Lord we look upon the past,Sue,7120048,reported 21/11/22,,,,,,,,,,,,,,,,,,,,,
20/11/22,Cornerstone,My hope is built on nothing less,Sue,6158927,reported 21/11/22,,,,,,,,,,,,,,,,,,,,,
20/11/22,Hope of the Nations,Jesus hope of the nations,Sue,3540703,reported 21/11/22,,,,,,,,,,,,,,,,,,,,,
20/11/22,Hosanna (Praise Is Rising),Praise is rising,Sue,4662491,reported 21/11/22,,,,,,,,,,,,,,,,,,,,,
20/11/22,I Give You My Heart,This is my desire,Sue,1866132,reported 21/11/22,,,,,,,,,,,,,,,,,,,,,
20/11/22,King of the Ages,King of the ages,Sue,3707663,reported 21/11/22,,,,,,,,,,,,,,,,,,,,,
27/11/22,Across The Lands,You're the Word of God the Father,Mary,3709898,reported 29/11/22,,,,,,,,,,,,,,,,,,,,,
27/11/22,I Stand Amazed,I stand amazed in the presence,Mary,25297,public domain,,,,,,,,,,,,,,,,,,,,,
27/11/22,"O Come O Come Emmanuel 
(Veni Emmanuel)",O come O come Emmanuel,Mary,31982,public domain,,,,,,,,,,,,,,,,,,,,,
27/11/22,Praise My Soul The King Of Heaven,Praise my soul the King of heaven,Mary,800443,public domain,,,,,,,,,,,,,,,,,,,,,
27/11/22,Refiner's Fire,Purify my heart,Mary,426298,reported 29/11/22,,,,,,,,,,,,,,,,,,,,,
27/11/22,The Lion And The Lamb,He's coming on the clouds,Mary,7038281,reported 29/11/22,,,,,,,,,,,,,,,,,,,,,
18/12/22,Do not be afraid,,Sue,Copyright 2000 Kevin Mayhew,,,,,,,,,,,,,,,,,,,,,,
18/12/22,Hark the herald angels sing,Hark the herald angels sing,Sue,27738,public domain,,,,,,,,,,,,,,,,,,,,,
18/12/22,In the bleak midwinter,In the bleak midwinter,Mary,294736,public domain,,,,,,,,,,,,,,,,,,,,,
18/12/22,Joy to the world,Joy to the world the Lord is come,Mary,24016,public domain,,,,,,,,,,,,,,,,,,,,,
18/12/22,O come all ye faithful,O come all ye faithful,Mary,31054,public domain,,,,,,,,,,,,,,,,,,,,,
18/12/22,O come all ye faithful,O come all ye faithful,Sue,31054,public domain,,,,,,,,,,,,,,,,,,,,,
18/12/22,O Holy Night,O Holy Night the stars are brightly shining,Sue,32015,public domain,,,,,,,,,,,,,,,,,,,,,
18/12/22,O Little Town of Bethlehem,O Little Town of Bethlehem,Sue,2312176,public domain,,,,,,,,,,,,,,,,,,,,,
18/12/22,Once in Royal David's City,Once in Royal David's City,Sue,197156,public domain,,,,,,,,,,,,,,,,,,,,,
18/12/22,Silent Night,Silent Night Holy Night,Mary,27862,public domain,,,,,,,,,,,,,,,,,,,,,
18/12/22,Suddenly a light,Suddenly a light,Sue,5081026,reported 3/1/23,,,,,,,,,,,,,,,,,,,,,
18/12/22,The Calypso Carol,See him lying on a bed of straw,Mary,626892,reported 3/1/23,,,,,,,,,,,,,,,,,,,,,
18/12/22,The Calypso Carol,See him lying on a bed of straw,Sue,626892,reported 3/1/23,,,,,,,,,,,,,,,,,,,,,
18/12/22,We three kings,We three Kings of Orient are,Mary,38002,public domain,,,,,,,,,,,,,,,,,,,,,
24/12/22,Away in a manger,Away in a manger,Sue,38583,public domain,,,,,,,,,,,,,,,,,,,,,
24/12/22,Come and join the celebration,Come and join the celebration,Sue,By Valerie Collison c 1972,?,,,,,,,,,,,,,,,,,,,,,
24/12/22,Hark the herald,Hark the herald angels sing,Sue,27738,public domain,,,,,,,,,,,,,,,,,,,,,
24/12/22,Joy to the world,Joy to the world the Lord is come,Sue,24016,public domain,,,,,,,,,,,,,,,,,,,,,
24/12/22,Many years ago (to tune of Jingle Bells),Many years ago in a stable far away,Sue,Words by Rev Barry Shipley,,,,,,,,,,,,,,,,,,,,,,
24/12/22,The Calypso Carol,See him lying on a bed of straw,Sue,626892,reported 3/1/23,,,,,,,,,,,,,,,,,,,,,
25/12/22,Hark the herald,Hark the herald angels sing,Joan,27738,public domain,,,,,,,,,,,,,,,,,,,,,
25/12/22,Many years ago (to tune of Jingle Bells),Many years ago in a stable far away,Joan,Words by Rev Barry Shipley,,,,,,,,,,,,,,,,,,,,,,
25/12/22,O come all ye faithful,O come all ye faithful,Joan,31054,public domain,,,,,,,,,,,,,,,,,,,,,
25/12/22,Silent Night,Silent night holy night,Joan,27862,public domain,,,,,,,,,,,,,,,,,,,,,
1/1/23,Angels from the realms of glory,Angels from the realms of glory,Sue,2402828,public domain,,,,,,,,,,,,,,,,,,,,,
1/1/23,Come and join the celebration,Come and join the celebration,Sue,By Valerie Collison c 1972,?,,,,,,,,,,,,,,,,,,,,,
1/1/23,Holy Child (Fairmile),"Holy Child, how still you lie",Sue,4755748,reported 27/1/23,,,,,,,,,,,,,,,,,,,,,
1/1/23,The virgin Mary had a baby boy,The virgin Mary had a baby boy,Sue,5743993,reported 27/1/23,,,,,,,,,,,,,,,,,,,,,
6/1/23,Joy to the world,Joy to the world the Lord is come,Sue,24016,public domain,,,,,,,,,,,,,,,,,,,,,
6/1/23,Lord for the years,Lord for the years your love has kept and guided,Sue,3274952,reported 24/2/23,,,,,,,,,,,,,,,,,,,,,
6/1/23,Thine be the glory,Thine be the glory risen conquering son,Sue,21837,public domain,,,,,,,,,,,,,,,,,,,,,
8/1/23,King of the Ages,King of the ages,Sue,3707663,reported 16/1/23,,,,,,,,,,,,,,,,,,,,,
8/1/23,Love Divine,Love divine all loves excelling,Sue,1038991,reported 16/1/23,,,,,,,,,,,,,,,,,,,,,
8/1/23,Open The Eyes Of My Heart,Open the eyes of my heart Lord,Sue,2298355,reported 16/1/23,,,,,,,,,,,,,,,,,,,,,
8/1/23,There Is A Redeemer,There is a Redeemer Jesus God's own Son,Sue,11483,reported 16/1/23,,,,,,,,,,,,,,,,,,,,,
15/01/23,Christ Our Hope In Life And Death,Christ our hope in life and death,Mary,7147502,reported 16/1/23,,,,,,,,,,,,,,,,,,,,,
15/01/23,"Come, Now is the Time to Worship","Come, now is the time to worship",Mary,2430948,reported 16/1/23,,,,,,,,,,,,,,,,,,,,,
15/01/23,Great are you Lord,"You give life, you are love",Mary,6460220,reported 16/1/23,,,,,,,,,,,,,,,,,,,,,
15/01/23,Holy Spirit,Holy Spirit living Breath of God,Mary,4779872,reported 16/1/23,,,,,,,,,,,,,,,,,,,,,
15/01/23,Is He Worthy?,Do you feel the world is broken?,Mary,7108951,reported 16/1/23,,,,,,,,,,,,,,,,,,,,,
15/01/23,O Praise the name (Anastasis),I cast my mind to calvary,Mary,7037787,reported 16/1/23,,,,,,,,,,,,,,,,,,,,,
21/01/23,Abide with me,"Abide with me, fast falls the eventide",Sue,43190,public domain,,,,,,,,,,,,,,,,,,,,,
21/01/23,Great is thy faithfulness,"Great is thy faithfulness, O God my Father",Sue,18723,reported 24/2/23,,,,,,,,,,,,,,,,,,,,,
21/01/23,Psalm 23,The Lord's my Shepherd I'll not want,Sue,1585970,reported 24/2/23,,,,,,,,,,,,,,,,,,,,,
22/01/23,Christ Our Hope In Life And Death,Christ our hope in life and death,Sue,7147502,reported 27/1/23,,,,,,,,,,,,,,,,,,,,,
22/01/23,He Will Hold Me Fast,When I fear my faith will fail,Sue,7016161,reported 27/1/23,,,,,,,,,,,,,,,,,,,,,
22/01/23,I Will Sing The Wondrous Story,I will sing the wondrous story,Sue,2645726,reported 27/1/23,,,,,,,,,,,,,,,,,,,,,
22/01/23,Psalm 23,The Lord's my Shepherd I'll not want,Sue,1585970,reported 27/1/23,,,,,,,,,,,,,,,,,,,,,
22/01/23,You Never Let Go,Even though I walk through the valley,Sue,4674166,reported 27/1/23,,,,,,,,,,,,,,,,,,,,,
24/01/23,In christ alone,In christ alone my hope is found,Sue,3350395,reported 27/1/23,,,,,,,,,,,,,,,,,,,,,
24/01/23,O love that will not let me go,O love that will not let me go,Sue,40502,public domain,,,,,,,,,,,,,,,,,,,,,
24/01/23,Psalm 23,The lord's my Shepherd I'll not want,Sue,1585970,reported 27/1/23,,,,,,,,,,,,,,,,,,,,,
24/01/23,The King of love my shepherd is,The King of love my shepherd is,Sue,40681,public domain,,,,,,,,,,,,,,,,,,,,,
29/01/23,At The Name Of Jesus (Camberwell),At the name of Jesus,Sue,38947,reported 2/2/23,,,,,,,,,,,,,,,,,,,,,
29/01/23,Beautiful Saviour,All my days I will sing this song of gladness,Sue,2492216,reported 2/2/23,,,,,,,,,,,,,,,,,,,,,
29/01/23,In Christ Alone,In Christ alone my hope is found,Sue,3350395,reported 2/2/23,,,,,,,,,,,,,,,,,,,,,
29/01/23,Jesus Shall Take The Highest Honour,Jesus shall take the highest honour,Sue,451380,reported 2/2/23,,,,,,,,,,,,,,,,,,,,,
29/01/23,This I Believe (The Creed),Our Father everlasting,Sue,7018338,reported 2/2/23,,,,,,,,,,,,,,,,,,,,,
5/2/23,Hosanna (Praise Is Rising),Praise is rising,Sue,4662491,reported 23/2/23,,,,,,,,,,,,,,,,,,,,,
5/2/23,How Deep The Father's Love For Us,How deep the Father's love for us,Sue,1558110,reported 23/2/23,,,,,,,,,,,,,,,,,,,,,
5/2/23,Wide,Wide and long and high and deep,Sue,2537250,reported 23/2/23,,,,,,,,,,,,,,,,,,,,,
5/2/23,Witness All Over The World,God is love and we are his so here we go,One Way UK,To the tune of Rockin All Over the World by Status Quo,,,,,,,,,,,,,,,,,,,,,,
12/2/23,Beautiful Saviour,All my days I will sing this song of gladness,You Tube,2492216,reported 23/2/23,,,,,,,,,,,,,,,,,,,,,
12/2/23,Psalm 23,The Lord's my Shepherd I'll not want,You Tube,1585970,reported 23/2/23,,,,,,,,,,,,,,,,,,,,,
12/2/23,There Is A Higher Throne,There is a higher throne,You Tube,3994672,reported 23/2/23,,,,,,,,,,,,,,,,,,,,,
12/2/23,Thine Be The Glory (Maccabaeus),Thine be the glory,You Tube,4473013,reported 23/2/23,,,,,,,,,,,,,,,,,,,,,
12/2/23,Yet Not I But Through Christ In Me,What gift of grace is Jesus my redeemer,You Tube,7121852,reported 23/2/23,,,,,,,,,,,,,,,,,,,,,
19/02/23,All The Glory,My heart is full of admiration,Sue,729555,reported 23/2/23,,,,,,,,,,,,,,,,,,,,,
19/02/23,Behold Our God,Who has held the oceans in His hands?,Sue,5937510,reported 23/2/23,,,,,,,,,,,,,,,,,,,,,
19/02/23,Everlasting God,Strength will rise as we wait upon the Lord,Sue,4556538,reported 23/2/23,,,,,,,,,,,,,,,,,,,,,
19/02/23,I Cannot Tell,I cannot tell why He whom angels worship,Sue,110119,reported 23/2/23,,,,,,,,,,,,,,,,,,,,,
19/02/23,Our God,Water you turned into wine,Sue,5677416,reported 23/2/23,,,,,,,,,,,,,,,,,,,,,
26/02/23,And Can It Be,And can it be that I should gain,Ben,25280,public domain,,,,,,,,,,,,,,,,,,,,,
26/02/23,King Of Kings Majesty,King of kings majesty,Ben,1581778,reported 9/3/23,,,,,,,,,,,,,,,,,,,,,
26/02/23,Shout to the Lord,My Jesus my Saviour,Ben,1406918,reported 9/3/23,,,,,,,,,,,,,,,,,,,,,
26/02/23,The Servant King,From heav'n You came helpless babe,Ben,78897,reported 9/3/23,,,,,,,,,,,,,,,,,,,,,
26/02/23,To God Be The Glory,To God be the glory great things He has done,Ben,23426,public domain,,,,,,,,,,,,,,,,,,,,,
5/3/23,Be Happy,I'm gonna jump up and down,Sue,3784552,reported 9/3/23,,,,,,,,,,,,,,,,,,,,,
5/3/23,His Mercy Is More,What love could remember no wrongs we have done,Sue,7065053,reported 9/3/23,,,,,,,,,,,,,,,,,,,,,
5/3/23,Hope of the Nations,Jesus hope of the nations,Sue,3540703,reported 9/3/23,,,,,,,,,,,,,,,,,,,,,
5/3/23,Thine Be The Glory (Maccabaeus),Thine be the glory,Sue,4473013,reported 9/3/23,,,,,,,,,,,,,,,,,,,,,
